sample_code	norm_Bacteria_pairs	country	type	serial
803918001	32168071	DK	Pooled poultry feces	1
804017001	6817762	DK	Pooled pig feces	1
900117001	4344704	BG	Pooled pig feces	1
900118001	8309851	BG	Pooled poultry feces	1
900217001	9194360	BG	Pooled pig feces	1
900317001	5755805	BG	Pooled pig feces	1
900518001	20202620	BG	Pooled poultry feces	1
900617001	3100188	BG	Pooled pig feces	1
900618002	40897633	BG	Pooled poultry feces	2
900718001	18319816	BG	Pooled poultry feces	1
900818001	21749972	BG	Pooled poultry feces	1
900918001	25774587	BG	Pooled poultry feces	1
901018001	37476817	BG	Pooled poultry feces	1
901118001	29213695	BG	Pooled poultry feces	1
901217001	2247247	BG	Pooled pig feces	1
901317001	2738509	BG	Pooled pig feces	1
901417001	3790121	BG	Pooled pig feces	1
901517001	5127953	BG	Pooled pig feces	1
901617001	5811277	BG	Pooled pig feces	1
901717001	4650582	BG	Pooled pig feces	1
901817001	5646157	BG	Pooled pig feces	1
901917001	4439012	BG	Pooled pig feces	1
902017001	5895836	BG	Pooled pig feces	1
902117001	4315526	BG	Pooled pig feces	1
902217001	13203377	BG	Pooled pig feces	1
902317001	2189011	BG	Pooled pig feces	1
902417001	4366939	BG	Pooled pig feces	1
902518001	25443829	BG	Pooled poultry feces	1
902618001	29957344	BG	Pooled poultry feces	1
902717001	2818216	BG	Pooled pig feces	1
902817001	1363033	BG	Pooled pig feces	1
902917001	2394635	BG	Pooled pig feces	1
903017001	741622	BG	Pooled pig feces	1
903118001	29943140	BG	Pooled poultry feces	1
903218001	24824607	BG	Pooled poultry feces	1
903318001	18661779	BG	Pooled poultry feces	1
903418001	14060229	BG	Pooled poultry feces	1
903518001	25089646	BG	Pooled poultry feces	1
903618001	16451485	BG	Pooled poultry feces	1
903718001	19971970	BG	Pooled poultry feces	1
903818001	22858275	BG	Pooled poultry feces	1
903918008	24580653	BG	Pooled poultry feces	8
904018001	22525582	BG	Pooled poultry feces	1
